Signal,WindowStart,WindowEnd,totalPower,peakFreq,peakPower,specCentroid,specBandwidth,specFlatness,specEntropy,bp_delta,bp_theta,bp_alpha,bp_beta,bp_30_80,bp_80_200,RMS,MAV,ZCR,WL,kurtosis,spectrumCurvature,spectrumSlope,Cluster,Is_EMG_like
thalt,4097,4608,0.0766787795652213,0.25,0.0557033228152129,5.72030787578817,9.90016706788612,0.04729753747466,0.578831681057978,0.00525453504076879,0.0140778738544324,0.0154367569965712,0.00510339474809248,0.00115583114416549,0.000332523693704443,1.50972653641538,0.530327385742881,0.01953125,40.176476760141,29.0116867003141,0.150244150449199,-2.03085879016277,2,0
thalt,4353,4864,4.90379660663901e-14,0.25,6.59829337251363e-14,1.39112926323993,6.16872659484423,0.41400268590125,0.328895698443466,3.71816068529869e-15,1.47706073506525e-15,6.01694346173999e-16,5.18918067331904e-16,2.81207386605343e-16,9.8015970068997e-17,6.73373637942793e-07,3.30066591597015e-07,0.0078125,6.59095571114588e-06,30.8654210290692,1.5827789047515e-13,-0.288819245830153,2,0
alpha,1,512,2.86295260096015,9.75,0.480927518196375,10.8734167142914,4.28220124050815,0.00222590863501716,0.627620450260251,0.00357574650153953,0.530288741684804,1.79954895216691,0.517350513924317,0.0110945994904017,0.000898748539637159,4.72449357677103,1.43619667948301,0.0703125,197.648129608886,27.5948151236841,1.98561351707309,-3.23445480764026,2,0
alpha,257,768,40.7879092811406,10,6.52049725313187,11.2842329986047,4.53409862984395,0.000308293597990612,0.626841173637267,0.0258098752297084,5.89687605984242,26.7477335249721,7.89084085093785,0.209826723679596,0.0167929501030209,4.70185753115695,1.33502936919866,0.046875,184.316235030257,28.1005269992524,30.7734988431601,-3.91615961340886,2,0
alpha,513,1024,36.9095327918453,11,4.05006026498801,12.6741472299084,4.81288985713444,2.97667094086215e-05,0.655737669615694,0.0302037752471512,3.50942326673667,18.1988323466187,14.9220446414295,0.230066205980559,0.0189617833454204,4.1218258174251,1.06275893374513,0.19921875,171.648505962424,30.0569184519708,11.854990275311,-5.01362182492602,2,0
alpha,769,1280,0.99217743315216,12.25,0.105727693122084,13.4204392063013,5.1376571881885,0.000909290396036868,0.656318668084655,0.00047085200088812,0.0624457221059635,0.439926333835327,0.480037476946904,0.00852721624695963,0.000738329856027196,4.12164442685419,1.06309948964142,0.05078125,171.088967470771,30.0387819528087,0.311487171358128,-3.39968075952464,2,0
alpha,1025,1536,0.894223529664778,8.75,0.120395155815919,12.5360960830569,13.4342334493243,0.11922608543424,0.707718987146948,0.0124565350262474,0.239619369137815,0.422897383562421,0.128855280749523,0.0416806455853944,0.00963217646669258,6.68833546170929,1.77994488787839,0.01953125,188.23706731586,30.1124786444786,0.654004479993983,-1.7186861446196,2,0
alpha,1281,1792,250.208503322528,9.25,51.3815617433876,10.2555739538908,4.00857703100812,1.71229641048522e-05,0.589284709793746,0.103106300555043,50.6155401984462,174.776016771909,23.697454979427,0.945482422055738,0.0709020958864439,10.0322463867539,3.2307565383176,0.19140625,428.356154791763,15.6503222657546,279.399635915106,-5.01774259604059,2,0
alpha,1537,2048,1.10658952097881,11.75,0.119866075208506,13.5612716007014,12.1727612391781,0.0971758042786042,0.711988140943643,0.0135867174154142,0.131826016773622,0.517270847269274,0.351341043346715,0.0361070387456696,0.0111838227109033,7.46413870249724,1.85342906268554,0.0234375,240.584396667768,31.544691469621,0.589011599207037,-1.75249145281884,2,0
alpha,1793,2304,1.59724378776273e-23,11,8.20009876184526e-24,3.67472791938279e-06,0.00727550766665102,0.999999999999849,8.4344307086304e-07,1.16380956420622e-26,5.46795884297837e-25,1.08569571829756e-23,4.4419707429736e-24,1.05973840691645e-25,8.98154528951222e-27,3.4262764956836e-12,2.52742372537314e-12,0.18359375,4.05567247536171e-10,4.27116385038826,4.6841795227222e-23,-9.84707725588673e-10,2,0
